factor,horizon,ic_mean,ic_std,icir,ic_pos_ratio,abs_ic_mean,n_days
ma20_ma60_spread,5d,0.058230014720359026,0.29574385094081357,0.19689340804591215,0.5878489326765188,0.058230014720359026,609
boll_width,20d,-0.050261894485184117,0.2268118197962275,-0.22160174249446285,0.4351395730706076,0.050261894485184117,609
volatility_30d,10d,0.04345896513188924,0.402398622008712,0.10799978616961652,0.5320197044334976,0.04345896513188924,609
skew_20d,20d,0.043133427448202546,0.28685591633279156,0.15036617685849626,0.5714285714285714,0.043133427448202546,609
turnover_ratio,10d,0.03411523152294322,0.23242336668443092,0.14678055829585596,0.5566502463054187,0.03411523152294322,609
vol_ratio,10d,0.03397568585004632,0.2327886845275763,0.14595076182073416,0.5632183908045977,0.03397568585004632,609
turnover_vol,3d,0.03258522978875746,0.3140203273084955,0.10376789957532123,0.5205254515599343,0.03258522978875746,609
ma20_ma60_spread,3d,0.029625876906590992,0.3061768242670687,0.09676067735534824,0.5435139573070608,0.029625876906590992,609
volatility_10d,3d,0.02912006903019798,0.3750785876127396,0.07763724721141323,0.5139573070607554,0.02912006903019798,609
boll_width,10d,-0.028243768045974924,0.23096471968598067,-0.1222860707227282,0.451559934318555,0.028243768045974924,609
volatility_20d,5d,0.027506979713730624,0.39551084329899305,0.06954797872112008,0.5123152709359606,0.027506979713730624,609
volatility_30d,5d,0.014000991755569969,0.39541730601275593,0.03540814107695708,0.5073891625615764,0.014000991755569969,609
boll_width,5d,-0.013598455533863841,0.2309565965457863,-0.05887883583861177,0.47783251231527096,0.013598455533863841,609
vol_ratio,20d,0.008270378601449729,0.22758791234641498,0.03633927002617459,0.5320197044334976,0.008270378601449729,609
turnover_ratio,20d,0.0082294646868831,0.2275445011808243,0.03616639665725579,0.5336617405582923,0.0082294646868831,609
boll_width,3d,-0.007864341483057341,0.22964076371280712,-0.03424627821257653,0.5041050903119869,0.007864341483057341,609
volatility_20d,3d,0.007576311791014814,0.3871697174725906,0.01956845137701446,0.49589490968801314,0.007576311791014814,609
ma5_cross_ma20,20d,0.0028810730005410412,0.17986559770194507,0.01601792136657095,0.49369747899159666,0.0028810730005410412,476
volatility_30d,3d,-0.0015142818055631385,0.38396083774173895,-0.0039438444151475675,0.49261083743842365,0.0015142818055631385,609
